test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
1600012H06Rik	1600012H06Rik	1600012H06Rik	chr17:14943183-14961260	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.63708	2.14946	0.392847	0	1	1	no
1600014C10Rik	1600014C10Rik	1600014C10Rik	chr7:38183216-38197565	ST_ASO_SPF	ST_WT_SPF	NOTEST	2.10244	2.0682	-0.0236872	0	1	1	no
1600014C23Rik	1600014C23Rik	1600014C23Rik	chr17:45732863-45733844	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.581173	0.615218	0.0821303	0	1	1	no
1600014K23Rik	1600014K23Rik	1600014K23Rik	chrX:85249676-85270291	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.024831	0	-inf	0	1	1	no
1600015I10Rik	1600015I10Rik	1600015I10Rik	chr6:48929895-48933687	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.040172	inf	0	1	1	no
1600019K03Rik	1600019K03Rik	1600019K03Rik	chr16:35503169-35509419	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1600020E01Rik	1600020E01Rik	1600020E01Rik	chr6:86527329-86564449	ST_ASO_SPF	ST_WT_SPF	OK	13.5652	11.6923	-0.214352	-0.258176	0.5117	0.85088	no
1600023N17Rik	1600023N17Rik	1600023N17Rik	chr5:45668700-45669708	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0786556	0.0513233	-0.615935	0	1	1	no
1600025M17Rik	1600025M17Rik	1600025M17Rik	chrX:56317607-56320664	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1600027J07Rik	1600027J07Rik	1600027J07Rik	chr8:103343877-103347534	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1600029I14Rik	1600029I14Rik	1600029I14Rik	chr9:99456242-99568899	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.164646	0.519081	1.65659	0	1	1	no
1600029O15Rik	1600029O15Rik	1600029O15Rik	chr9:58196296-58208808	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.20554	1.01651	-0.246053	0	1	1	no
1700001C02Rik	1700001C02Rik	1700001C02Rik	chr5:30466076-30484087	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.231249	0.170725	-0.437775	0	1	1	no
1700001C19Rik	1700001C19Rik	1700001C19Rik	chr17:47412733-47470638	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0139333	0.123288	3.14543	0	1	1	no
1700001D01Rik	1700001D01Rik	1700001D01Rik	chr8:61224170-61396072	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.087146	0.174934	1.0053	0	1	1	no
1700001F09Rik	1700001F09Rik	1700001F09Rik	chr14:43342383-43347811	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700001G01Rik	1700001G01Rik	1700001G01Rik	chr18:17035507-17137559	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0920469	0.259125	1.49321	0	1	1	no
1700001G11Rik	1700001G11Rik	1700001G11Rik	chr14:66295328-66311424	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.18093	inf	0	1	1	no
1700001G17Rik	1700001G17Rik	1700001G17Rik	chr1:33669823-33670712	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700001J03Rik	1700001J03Rik	1700001J03Rik	chr5:146182449-146185304	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0274975	0	-inf	0	1	1	no
1700001J11Rik	1700001J11Rik	1700001J11Rik	chr9:40050557-40053025	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700001K19Rik	1700001K19Rik	1700001K19Rik	chr12:110667688-110682619	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.287302	0.0550022	-2.38501	0	1	1	no
1700001K23Rik	1700001K23Rik	1700001K23Rik	chr19:53248735-53255205	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700001L05Rik	1700001L05Rik	1700001L05Rik	chr15:83353846-83367297	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.115184	0.201609	0.807611	0	1	1	no
1700001L19Rik	1700001L19Rik	1700001L19Rik	chr13:68597438-68614231	ST_ASO_SPF	ST_WT_SPF	NOTEST	3.14986	3.13154	-0.00841259	0	1	1	no
1700001O22Rik	1700001O22Rik	1700001O22Rik	chr2:30795562-30803664	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.24912	0.961891	-0.37697	0	1	1	no
1700001P01Rik	1700001P01Rik	1700001P01Rik	chr11:97771480-97775918	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.0752769	inf	0	1	1	no
1700003C15Rik	1700003C15Rik	1700003C15Rik	chr5:11749832-11769308	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003D09Rik	1700003D09Rik	1700003D09Rik	chr11:98348737-98358283	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.286512	0.632975	1.14355	0	1	1	no
1700003E16Rik	1700003E16Rik	1700003E16Rik	chr6:83156403-83162975	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.96169	1.86736	-0.0711041	0	1	1	no
1700003E24Rik	1700003E24Rik	1700003E24Rik	chrX:93183226-93183944	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003F12Rik	1700003F12Rik	1700003F12Rik	chr2:154544404-154558853	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.0935311	inf	0	1	1	no
1700003G13Rik	1700003G13Rik	1700003G13Rik	chr9:45318265-45347580	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003G18Rik	1700003G18Rik	1700003G18Rik	chr7:116081761-116093149	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003H04Rik	1700003H04Rik	1700003H04Rik	chr3:124565890-124581091	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003I22Rik	1700003I22Rik	1700003I22Rik	chr1:56018977-56020203	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700003L19Rik	1700003L19Rik	1700003L19Rik	chr16:12811389-12848653	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.0840998	inf	0	1	1	no
1700003M02Rik	1700003M02Rik	1700003M02Rik	chr4:34711331-34730206	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.222328	0.23148	0.0582006	0	1	1	no
1700003M07Rik	1700003M07Rik	1700003M07Rik	chr4:129960373-129965138	ST_ASO_SPF	ST_WT_SPF	OK	10.3438	3.66983	-1.49498	-2.21748	5e-05	0.00450088	yes
1700003P14Rik	1700003P14Rik	1700003P14Rik	chr13:118556167-118588629	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700006A11Rik	1700006A11Rik	1700006A11Rik	chr3:124401154-124426028	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700006E09Rik	1700006E09Rik	1700006E09Rik	chr11:101987055-101992264	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700006F04Rik	1700006F04Rik	1700006F04Rik	chr14:119138264-119869815	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.191626	0.133706	-0.519225	0	1	1	no
1700006H21Rik	1700006H21Rik	1700006H21Rik	chr13:107687396-107692168	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700007B14Rik	1700007B14Rik	1700007B14Rik	chr8:75448693-75984507	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.168032	0.155426	-0.112511	0	1	1	no
1700007F19Rik	1700007F19Rik	1700007F19Rik	chr3:58141706-58163807	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700007G11Rik	1700007G11Rik	1700007G11Rik	chr5:98329303-98802019	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.375343	0.341166	-0.137735	0	1	1	no
1700007J10Rik	1700007J10Rik	1700007J10Rik	chr11:59662494-59780860	ST_ASO_SPF	ST_WT_SPF	OK	9.34044	9.31169	-0.00444793	-0.00229456	0.9953	0.997834	no
1700007K09Rik	1700007K09Rik	1700007K09Rik	chr7:131325930-131329499	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.268715	0	-inf	0	1	1	no
1700007K13Rik	1700007K13Rik	1700007K13Rik	chr2:28462000-28466324	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.868411	0.811972	-0.0969489	0	1	1	no
1700007L15Rik	1700007L15Rik	1700007L15Rik	chr16:33379853-33380736	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.680047	0.240598	-1.49901	0	1	1	no
1700007P06Rik	1700007P06Rik	1700007P06Rik	chr1:187048406-187215446	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.551939	0.0736945	-2.90488	0	1	1	no
1700008C04Rik	1700008C04Rik	1700008C04Rik	chr12:51005155-51062543	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0530649	0.159865	1.59102	0	1	1	no
1700008J07Rik	1700008J07Rik	1700008J07Rik	chr7:127510437-127561219	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.381222	0.472656	0.310159	0	1	1	no
1700008K24Rik	1700008K24Rik	1700008K24Rik	chr17:49112263-49113533	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700008O03Rik	1700008O03Rik	1700008O03Rik	chr7:44360044-44375030	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.627695	1.1494	0.872743	0	1	1	no
1700008P02Rik	1700008P02Rik	1700008P02Rik	chr3:6615412-6620443	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700009C05Rik	1700009C05Rik	1700009C05Rik	chr6:81900464-81910800	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.12791	0	-inf	0	1	1	no
1700009J07Rik	1700009J07Rik	1700009J07Rik	chr10:77893419-77896111	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700009N14Rik	1700009N14Rik	1700009N14Rik	chr4:39450292-39451778	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700010B08Rik	1700010B08Rik	1700010B08Rik	chr2:173719414-173722086	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700010D01Rik	1700010D01Rik	1700010D01Rik	chrX:95711677-95927970	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700010I02Rik	1700010I02Rik	1700010I02Rik	chr3:7925302-7954887	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.994209	inf	0	1	1	no
1700010I14Rik	1700010I14Rik	1700010I14Rik	chr17:8988332-9008319	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.263856	0.376437	0.51266	0	1	1	no
1700010J16Rik	1700010J16Rik	1700010J16Rik	chr10:112726925-112785599	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700010K23Rik	1700010K23Rik	1700010K23Rik	chr16:66655420-67620908	ST_ASO_SPF	ST_WT_SPF	OK	37.7298	25.4801	-0.566333	-0.107326	0.60065	0.890675	no
1700011A15Rik	1700011A15Rik	1700011A15Rik	chr15:101431013-101491512	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700011B04Rik	1700011B04Rik	1700011B04Rik	chr13:35181622-35188014	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700011C11Rik	1700011C11Rik	1700011C11Rik	chr7:71947526-72027317	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700011E24Rik	1700011E24Rik	1700011E24Rik	chr17:87389570-87427741	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0778352	0	-inf	0	1	1	no
1700011H14Rik	1700011H14Rik	1700011H14Rik	chr14:49226358-49245428	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700011I03Rik	1700011I03Rik	1700011I03Rik	chr18:57533825-57731065	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0771504	0.0890437	0.206839	0	1	1	no
1700011L22Rik	1700011L22Rik	1700011L22Rik	chr8:79210429-79248583	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700011M02Rik	1700011M02Rik	1700011M02Rik	chrX:102908904-102909651	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700012A03Rik	1700012A03Rik	1700012A03Rik	chr6:32050287-32058915	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700012B07Rik	1700012B07Rik	1700012B07Rik	chr11:109788290-109828046	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700012B09Rik	1700012B09Rik	1700012B09Rik	chr9:14758193-14771030	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.971812	1.70885	0.81428	0	1	1	no
1700012C14Rik	1700012C14Rik	1700012C14Rik	chr6:30460984-30463313	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1700012D01Rik	1700012D01Rik	1700012D01Rik	chr10:127667122-127668851	ST_ASO_SPF	ST_WT_SPF	OK	4.68598	2.24472	-1.06182	-0.840961	0.0461	0.3159	no
1700012D14Rik	1700012D14Rik	1700012D14Rik	chr7:111117672-111122675	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.175092	0.11624	-0.591001	0	1	1	no
