"test_id","log2.fold_change."
"Rabggtb",0.671475
"Rap2a",-0.791687
"Rcor1",-0.927025
"Resp18",0.820851
"Rfk",0.61688
"Rian",0.63435
"Rims1",-1.4983
"Rmdn2",-1.27555
"Rnf4",0.772222
"Rnf7",0.690857
"Rph3a",-0.860664
"Rpl10a",0.674141
"Rpl3",0.817028
"Rps9",1.27178
"Rpsa",0.689252
"Rrnad1",0.670414
"Rtn4r",-1.23786
"Rusc2",-0.744994
"S100b",0.702331
"Samd4b",-0.872243
"Satb1",-0.792803
"Scamp1",0.788895
"Sco1",-0.825925
"Scp2",0.669972
"Sdf2",0.79318
"Sec11c",0.678499
"Sepp1",0.834008
"Sirt6",-1.54274
"Slc17a7",-1.15826
"Slc27a1",-0.822076
"Slc28a3",-0.953987
"Slc30a3",-1.03075
"Slc35a1",1.05912
"Slc39a12",1.17001
"Slc4a3",-0.858936
"Smco1",-0.919133
"Smtnl2",-1.0535
"Sncb",-0.675499
"Snrnp25",0.924908
"Spock2",-0.937413
"Sptbn2",-0.660441
"Sptssa",0.766577
"Srp14",0.615965
"Stx1a",-1.20595
"Stx1b",-0.898166
"Stxbp4",-0.75225
"Tac1",0.800985
"Tbr1",-0.794176
"Tcof1",-1.03173
"Tctex1d2",0.897262
"Thra",-0.816238
"Tigd3",-1.19803
"Timm10",0.782694
"Timm17a",0.626514
"Tjp2",-1.28023
"Tm4sf1",1.41799
"Tmem132a",-0.843366
"Tmem151b",-0.682611
"Tmem181b-ps",-1.53572
"Tmem223",0.646244
"Tmem242",0.845817
"Tnfrsf10b",-0.791911
"Tomm22",0.628599
"Tprkb",0.650519
"Trappc2l",0.58523
"Trem2",1.04325
"Trim55",-1.59433
"Ttc33",0.701883
"Ttc38",-1.08246
"Ttr",2.77692
"Tuba1c",-1.22812
"Tusc5",-1.51819
"Txndc17",0.751162
"Txnrd1",-0.839068
"Tyrobp",0.90168
"Ube2l6",-1.08197
"Ube2s",1.09048
"Uroc1",-1.09656
"Use1",1.14684
"Vamp1",0.825453
"Veph1",-1.22196
"Vgf",-0.843046
"Wnt4",-1.33941
"Ybx3",-0.805923
"Zcchc12",0.668334
"Zcchc3",-0.861257
"Zfp827",-1.4942
"Zmiz2",-0.687432
"Zwint",0.652787
